,01 Andalucía,04 Almería,11 Cádiz,14 Córdoba,18 Granada,21 Huelva,23 Jaén,29 Málaga,41 Sevilla,02 Aragón,22 Huesca,44 Teruel,50 Zaragoza,"03 Asturias, Principado de",33 Asturias,"04 Balears, Illes","07 Balears, Illes",05 Canarias,"35 Palmas, Las",38 Santa Cruz de Tenerife,06 Cantabria,39 Cantabria,07 Castilla y León,05 Ávila,09 Burgos,24 León,34 Palencia,37 Salamanca,40 Segovia,42 Soria,47 Valladolid,49 Zamora,08 Castilla - La Mancha,02 Albacete,13 Ciudad Real,16 Cuenca,19 Guadalajara,45 Toledo,09 Cataluña,08 Barcelona,17 Girona,25 Lleida,43 Tarragona,10 Comunitat Valenciana,03 Alicante/Alacant,12 Castellón/Castelló,46 Valencia/València,11 Extremadura,06 Badajoz,10 Cáceres,12 Galicia,"15 Coruña, A",27 Lugo,32 Ourense,36 Pontevedra,"13 Madrid, Comunidad de",28 Madrid,"14 Murcia, Región de",30 Murcia,"15 Navarra, Comunidad Foral de",31 Navarra,16 País Vasco,01 Araba/Álava,48 Bizkaia,20 Gipuzkoa,"17 Rioja, La","26 Rioja, La",18 Ceuta,19 Melilla,Total Nacional
2006M05.1,820361.0,76204.0,150705.0,62647.0,98726.0,69563.0,46375.0,190983.0,125159.0,132386.0,31050.0,18882.0,82454.0,109550.0,109550.0,133578.0,133578.0,174590.0,76926.0,97664.0,82130.0,82130.0,285665.0,20927.0,45995.0,51793.0,13874.0,54934.0,22990.0,12771.0,43878.0,18503.0,146201.0,26047.0,32442.0,23936.0,24104.0,39672.0,539562.0,260378.0,121973.0,38601.0,118610.0,445650.0,199849.0,77091.0,168711.0,84285.0,38090.0,46195.0,231881.0,99588.0,34459.0,23155.0,74680.0,449373.0,449373.0,85204.0,85204.0,54125.0,54125.0,124835.0,19611.0,59313.0,45911.0,38328.0,38328.0,7137.0,3121.0,3947962.0
2006M04.1,915307.0,95380.0,160668.0,64751.0,132353.0,73382.0,50457.0,213552.0,124763.0,164848.0,52035.0,28257.0,84557.0,130095.0,130095.0,167706.0,167706.0,210808.0,104116.0,106692.0,91145.0,91145.0,319752.0,25729.0,46992.0,53854.0,17720.0,67978.0,26304.0,17772.0,41687.0,21716.0,162940.0,23865.0,35142.0,31060.0,23231.0,49642.0,597046.0,241182.0,139397.0,60997.0,155470.0,487884.0,234325.0,85363.0,168197.0,111203.0,48162.0,63041.0,260980.0,114098.0,35184.0,26216.0,85483.0,448357.0,448357.0,86138.0,86138.0,52007.0,52007.0,133808.0,22537.0,55984.0,55287.0,42445.0,42445.0,5023.0,2601.0,4390094.0
2006M03.1,749371.0,60772.0,116476.0,60459.0,134643.0,45776.0,41516.0,158148.0,131582.0,157443.0,55102.0,20703.0,81638.0,79954.0,79954.0,107194.0,107194.0,144997.0,66507.0,78491.0,59353.0,59353.0,254824.0,21534.0,39552.0,38554.0,12392.0,54668.0,22233.0,11287.0,39738.0,14865.0,139969.0,24174.0,27537.0,23108.0,22213.0,42938.0,431836.0,238471.0,87609.0,61272.0,44484.0,400080.0,171674.0,61450.0,166956.0,85007.0,37355.0,47652.0,194813.0,87810.0,27129.0,21582.0,58292.0,459770.0,459770.0,78602.0,78602.0,46365.0,46365.0,122610.0,22096.0,54500.0,46013.0,34021.0,34021.0,3674.0,3458.0,3553339.0
2006M02.1,631161.0,54330.0,91541.0,49338.0,121365.0,33849.0,33408.0,133436.0,113894.0,150341.0,59542.0,18665.0,72134.0,66493.0,66493.0,74812.0,74812.0,124643.0,54817.0,69826.0,41744.0,41744.0,210448.0,18806.0,30476.0,35138.0,9763.0,42678.0,16840.0,8727.0,35027.0,12993.0,122587.0,20491.0,23410.0,19195.0,17250.0,42242.0,377153.0,199221.0,72123.0,69788.0,36021.0,353637.0,161566.0,47331.0,144740.0,64392.0,30985.0,33407.0,157591.0,70409.0,20369.0,18898.0,47916.0,435441.0,435441.0,66571.0,66571.0,35502.0,35502.0,96224.0,15336.0,41115.0,39773.0,28561.0,28561.0,3140.0,2592.0,3043034.0
2006M01.1,511591.0,46967.0,59644.0,43892.0,115856.0,24396.0,28303.0,99663.0,92869.0,127891.0,57895.0,14970.0,55025.0,52672.0,52672.0,51517.0,51517.0,109909.0,48454.0,61454.0,34257.0,34257.0,183739.0,16276.0,27903.0,31796.0,8843.0,34942.0,15204.0,6582.0,30778.0,11413.0,103065.0,15401.0,21122.0,17890.0,13725.0,34927.0,327214.0,182544.0,53997.0,60010.0,30663.0,261711.0,113222.0,32662.0,115826.0,51233.0,24619.0,26614.0,148675.0,68362.0,20003.0,16088.0,44222.0,396470.0,396470.0,49221.0,49221.0,29599.0,29599.0,86233.0,14462.0,37404.0,34368.0,21480.0,21480.0,3304.0,2076.0,2551856.0
2005M12.1,567535.0,39710.0,83670.0,54180.0,121954.0,26193.0,36660.0,100177.0,104992.0,117967.0,44024.0,19055.0,54887.0,60412.0,60412.0,42416.0,42416.0,125685.0,46720.0,78965.0,43586.0,43586.0,211228.0,20934.0,30442.0,33235.0,10597.0,43477.0,17024.0,10279.0,33166.0,12073.0,119875.0,18293.0,26419.0,25324.0,14881.0,34958.0,349179.0,172402.0,66244.0,66409.0,44124.0,260408.0,109246.0,34881.0,116281.0,67562.0,30619.0,36943.0,164919.0,76721.0,22467.0,17993.0,47738.0,369010.0,369010.0,52861.0,52861.0,29676.0,29676.0,88307.0,15534.0,40399.0,32374.0,25621.0,25621.0,3772.0,2217.0,2702235.0
2005M11.1,565223.0,50834.0,78948.0,52262.0,93656.0,33320.0,36762.0,105186.0,114255.0,108114.0,22452.0,16842.0,68821.0,67412.0,67412.0,48566.0,48566.0,126124.0,47078.0,79047.0,45504.0,45504.0,248347.0,21272.0,38269.0,42114.0,11308.0,49272.0,19304.0,13813.0,38178.0,14817.0,142687.0,24434.0,29883.0,25382.0,20337.0,42650.0,326456.0,181336.0,55686.0,31307.0,58126.0,303342.0,121729.0,48354.0,133259.0,70314.0,29581.0,40733.0,197524.0,93553.0,23823.0,20774.0,59374.0,414784.0,414784.0,59818.0,59818.0,34694.0,34694.0,102453.0,19941.0,41879.0,40633.0,30897.0,30897.0,3266.0,2873.0,2898398.0
2005M10.1,705609.0,56517.0,109423.0,62470.0,110548.0,51887.0,44477.0,138407.0,131880.0,147074.0,36225.0,24102.0,86747.0,105426.0,105426.0,106438.0,106438.0,154919.0,61235.0,93684.0,72188.0,72188.0,302563.0,24597.0,47298.0,52421.0,14143.0,62888.0,23110.0,17540.0,41064.0,19501.0,162571.0,27184.0,34984.0,30610.0,20477.0,49316.0,469247.0,229636.0,86816.0,50095.0,102700.0,357901.0,150382.0,64197.0,143323.0,83162.0,37543.0,45619.0,240793.0,97520.0,34164.0,25404.0,83706.0,432786.0,432786.0,68689.0,68689.0,49578.0,49578.0,121229.0,22778.0,49779.0,48671.0,42114.0,42114.0,3155.0,2977.0,3628419.0
2005M09.1,816846.0,91381.0,131016.0,58177.0,113659.0,75257.0,42567.0,186614.0,118176.0,151584.0,44896.0,24657.0,82031.0,133774.0,133774.0,132799.0,132799.0,194747.0,70912.0,123835.0,100761.0,100761.0,327644.0,29300.0,51052.0,54551.0,17728.0,66483.0,28920.0,16557.0,41613.0,21441.0,162191.0,27558.0,36280.0,29369.0,20641.0,48342.0,518387.0,208350.0,116402.0,58011.0,135624.0,417003.0,189057.0,81274.0,146672.0,82693.0,36095.0,46598.0,295630.0,116388.0,42302.0,27121.0,109819.0,401476.0,401476.0,79831.0,79831.0,54292.0,54292.0,122673.0,22492.0,50781.0,49400.0,38357.0,38357.0,4007.0,3349.0,4038043.0
2005M08.1,963716.0,129149.0,163110.0,55839.0,122500.0,92708.0,44789.0,264527.0,91094.0,189424.0,75736.0,35385.0,78303.0,183841.0,183841.0,248140.0,248140.0,280287.0,106270.0,174017.0,142187.0,142187.0,422035.0,37824.0,69602.0,78518.0,25492.0,82982.0,33452.0,23092.0,41510.0,29564.0,169171.0,29048.0,33859.0,36108.0,18545.0,51611.0,676628.0,227559.0,188275.0,84645.0,176149.0,498306.0,241026.0,106299.0,150981.0,91942.0,39052.0,52890.0,468195.0,189846.0,72163.0,34343.0,171843.0,315732.0,315732.0,83944.0,83944.0,60750.0,60750.0,136497.0,23326.0,58764.0,54407.0,46616.0,46616.0,4630.0,3690.0,4985733.0
2005M07.1,845274.0,108505.0,157931.0,44649.0,93371.0,81480.0,36772.0,237981.0,84585.0,157807.0,59271.0,22508.0,76027.0,151018.0,151018.0,213867.0,213867.0,229653.0,82536.0,147117.0,128929.0,128929.0,319705.0,28758.0,52429.0,56014.0,18195.0,58677.0,28300.0,18529.0,36841.0,21962.0,153842.0,25296.0,39272.0,28047.0,20305.0,40923.0,613462.0,239830.0,148515.0,62664.0,162452.0,467330.0,231523.0,87421.0,148385.0,74549.0,34107.0,40442.0,365832.0,145110.0,49277.0,28664.0,142782.0,346208.0,346208.0,78105.0,78105.0,55679.0,55679.0,122958.0,19009.0,50344.0,53605.0,35136.0,35136.0,4644.0,2701.0,4366698.0
2005M06.1,768235.0,90385.0,119447.0,49187.0,93350.0,73628.0,41489.0,198671.0,102079.0,130209.0,39082.0,18225.0,72902.0,111668.0,111668.0,171927.0,171927.0,162026.0,60397.0,101629.0,90361.0,90361.0,284965.0,23292.0,46471.0,48084.0,17303.0,54457.0,25477.0,12289.0,39268.0,18323.0,144345.0,26866.0,34176.0,24227.0,20136.0,38940.0,574366.0,237400.0,136574.0,46116.0,154276.0,437858.0,219065.0,77235.0,141557.0,69886.0,31402.0,38484.0,254693.0,106304.0,35389.0,26348.0,86651.0,381305.0,381305.0,79616.0,79616.0,45798.0,45798.0,117765.0,21276.0,48638.0,47851.0,33975.0,33975.0,3937.0,2813.0,3865747.0
2005M05.1,738469.0,74326.0,112785.0,66797.0,102764.0,67145.0,39189.0,158604.0,116860.0,130715.0,32168.0,18464.0,80084.0,94361.0,94361.0,125998.0,125998.0,150570.0,57551.0,93019.0,71867.0,71867.0,287514.0,21102.0,44228.0,47258.0,15722.0,58348.0,24055.0,14820.0,43817.0,18164.0,148138.0,26901.0,37505.0,24578.0,20085.0,39070.0,520859.0,234444.0,109908.0,47012.0,129496.0,408738.0,189930.0,74494.0,144313.0,80610.0,36254.0,44356.0,223232.0,97818.0,30666.0,25633.0,69115.0,378287.0,378287.0,73413.0,73413.0,47735.0,47735.0,122810.0,20437.0,53125.0,49248.0,35630.0,35630.0,4758.0,2524.0,3646228.0
